region;ejecutivo;distr;venta_prom
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1246695
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;668225
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;25986
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;2589668
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1956148
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1654872
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;922542
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;992157
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;1567240
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;2806621
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;17450
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;2927170
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;2303467
ANTIOQUIA;Ejecutivo ANTIOQUIA;DISTRIYOL;1206206
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1986604
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5006362
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1155659
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;3494102
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;1131493
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;659805
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;357051
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;3164151
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;11128776
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;2527594
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;555526
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;997976
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;40690
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;3452443
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;1110932
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2028156
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;84740250
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;951106
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;62848
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;357709
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;3560138
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5792529
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1245759
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;542371
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;991702
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;747474
COSTA 2;Ejecutivo COSTA 2;SANTANA;38370303
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1239719
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;4600029
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2916294
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;48256320
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1457628
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1005969
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;798124
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1958094
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5408500
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5226885
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;2353387
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;2342969
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;845418
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;915402
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;3625212
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;113698
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;1491267
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;887548
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;8590401
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;2853860
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;16848
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2467843
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;3183982
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2047955
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;5965951
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;448936
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;1288769
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;5973748
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;987207
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;252559
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;406745
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2698392
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;322808
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;38601
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;383358
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;32752798
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;2731082
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;979312
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;14911162
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1404289
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;6236292
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1949737
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;6057625
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;210204
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;644092
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;176741
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;11262912
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1000334
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;2213478
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1427578
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;634998
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;1296535
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;182193
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;288448
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;485687
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1979902
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;438941
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;4577925
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;1300788
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);16363385
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;1378176
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;198111
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6583049
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;768898
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;604179
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;313648
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1916782
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1153144
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;856522
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;1247052
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;697757
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5255203
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;3995696
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3139205
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;469959
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;657338
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1538368
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1424274
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;5862456
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1005419
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6602076
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1521946
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1479530
